Saskia Esken, SPD, 1464 Tage
Dr. Birgit Malecha-Nissen, SPD, 1464 Tage
Michelle Müntefering, SPD, 1464 Tage
Birgit Kömpel, SPD, 1464 Tage
Elvan Korkmaz-Emre, SPD, 1464 Tage
Stefan Sauer, CDU, 1464 Tage
Dr. Anja Weisgerber, CSU, 1464 Tage
Peter Boehringer, AfD, 1464 Tage
Katrin Staffler, CSU, 1464 Tage
Stefan Keuter, AfD, 1464 Tage
Jörn König, AfD, 1464 Tage
Christian Dürr, FDP, 1464 Tage
Oliver Wittke, CDU, 1464 Tage
Tobias Zech, CSU, 1464 Tage
Martin Patzelt, CDU, 1464 Tage
Michel Brandt, DIE LINKE., 1464 Tage
Dr. Georg Kippels, CDU, 1464 Tage
Jens Kestner, AfD, 1464 Tage
Matthias Büttner, AfD, 1464 Tage
Katrin Helling-Plahr, FDP, 1464 Tage
Sylvia Gabelmann, DIE LINKE., 1464 Tage
Margit Stumpp, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Christian Kühn, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Dr. h. c. Thomas Sattelberger, FDP, 1464 Tage
Ingrid Pahlmann, CDU, 1464 Tage
Gabi Weber, SPD, 1464 Tage
Dr. Andreas Nick, CDU, 1464 Tage
Alexander Kulitz, FDP, 1464 Tage
Dr. Wieland Schinnenburg, FDP, 1464 Tage
Ulrich Freese, SPD, 1464 Tage
Martin Reichardt, AfD, 1464 Tage
Elisabeth Kaiser, SPD, 1464 Tage
Marcus Bühl, AfD, 1464 Tage
Johannes Schraps, SPD, 1464 Tage
Linda Teuteberg, FDP, 1464 Tage
Wolfgang Wiehle, AfD, 1464 Tage
Sebastian Brehm, CSU, 1464 Tage
Marc Biadacz, CDU, 1464 Tage
Daniela Kluckert, FDP, 1464 Tage
Dr. Jens Zimmermann, SPD, 1464 Tage
Björn Simon, CDU, 1464 Tage
Michael Schrodi, SPD, 1464 Tage
Hiltrud Lotze, SPD, 1464 Tage
Dr. Christoph Ploß, CDU, 1464 Tage
Wilfried Lorenz, CDU, 1464 Tage
Markus Frohnmaier, AfD, 1464 Tage
Dr. Stefan Heck, CDU, 1464 Tage
Margarete Bause, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Cansel Kiziltepe, SPD, 1464 Tage
Jan Ralf Nolte, AfD, 1464 Tage
Christian Flisek, SPD, 1464 Tage
Canan Bayram, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Dr. Alice Weidel, AfD, 1464 Tage
Udo Schiefner, SPD, 1464 Tage
Matthias Ilgen, SPD, 1464 Tage
Dr. Karl-Heinz Brunner, SPD, 1464 Tage
Siegbert Droese, AfD, 1464 Tage
Martin Hess, AfD, 1464 Tage
Dr. Lothar Maier, AfD, 1464 Tage
Berengar Elsner von Gronow, AfD, 1464 Tage
Dr. Martin Rosemann, SPD, 1464 Tage
Achim Post, SPD, 1464 Tage
Corinna Miazga, AfD, 1464 Tage
Dr. Lars Castellucci, SPD, 1464 Tage
Corinna Rüffer, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
