Hinweise zur Aufgabe: Sortiert primär nach Redenanzahl, sekundär nach Redenlänge


TEIL 1: Nach Fraktionen:
Fraktion Deutsche Partei
    Jakob Blankenburg, SPD (17 Reden, gesamt 72290 Zeichen)
    Ye-One Rhie, SPD (17 Reden, gesamt 65731 Zeichen)
    Dr. Joe Weingarten, SPD (17 Reden, gesamt 65679 Zeichen)
    Adis Ahmetovic, SPD (16 Reden, gesamt 72045 Zeichen)
    Dagmar Schmidt, SPD (16 Reden, gesamt 69997 Zeichen)
    Sanae Abdi, SPD (16 Reden, gesamt 52438 Zeichen)
    Jan Plobner, SPD (16 Reden, gesamt 51053 Zeichen)
    Leni Breymaier, SPD (16 Reden, gesamt 50749 Zeichen)
    Anja Troff-Schaffarzyk, SPD (16 Reden, gesamt 49182 Zeichen)
    Timo Schisanowski, SPD (16 Reden, gesamt 39346 Zeichen)
    Dennis Rohde, SPD (15 Reden, gesamt 86405 Zeichen)
    Maja Wallstein, SPD (15 Reden, gesamt 62423 Zeichen)
    Hannes Walter, SPD (15 Reden, gesamt 61437 Zeichen)
    Susanne Mittag, SPD (15 Reden, gesamt 60120 Zeichen)
    Jessica Rosenthal, SPD (15 Reden, gesamt 59200 Zeichen)
    Dr. Martin Rosemann, SPD (15 Reden, gesamt 58084 Zeichen)
    Jens Peick, SPD (15 Reden, gesamt 56293 Zeichen)
    Johannes Schätzl, SPD (15 Reden, gesamt 51167 Zeichen)
    Falko Mohrs, SPD (15 Reden, gesamt 50487 Zeichen)
    Jasmina Hostert, SPD (15 Reden, gesamt 47706 Zeichen)
    Anna Kassautzki, SPD (14 Reden, gesamt 73619 Zeichen)
    Andreas Schwarz, SPD (14 Reden, gesamt 73343 Zeichen)
    Katrin Budde, SPD (14 Reden, gesamt 71080 Zeichen)
    Axel Schäfer, SPD (14 Reden, gesamt 62021 Zeichen)
    Dr. Christos Pantazis, SPD (14 Reden, gesamt 58908 Zeichen)
    Mathias Papendieck, SPD (14 Reden, gesamt 57141 Zeichen)
    Rebecca Schamber, SPD (14 Reden, gesamt 54656 Zeichen)
    Ulrike Bahr, SPD (14 Reden, gesamt 52847 Zeichen)
    Melanie Wegling, SPD (14 Reden, gesamt 51073 Zeichen)
    Dr. Tanja Machalet, SPD (14 Reden, gesamt 50819 Zeichen)
    Mathias Stein, SPD (14 Reden, gesamt 40649 Zeichen)
    Esther Dilcher, SPD (13 Reden, gesamt 85632 Zeichen)
    Michael Thews, SPD (13 Reden, gesamt 79585 Zeichen)
    Takis Mehmet Ali, SPD (13 Reden, gesamt 65633 Zeichen)
    Tina Rudolph, SPD (13 Reden, gesamt 65051 Zeichen)
    Gabriela Heinrich, SPD (13 Reden, gesamt 56125 Zeichen)
    Dr. Herbert Wollmann, SPD (13 Reden, gesamt 54766 Zeichen)
    Bernd Rützel, SPD (13 Reden, gesamt 47320 Zeichen)
    Nadja Sthamer, SPD (13 Reden, gesamt 44285 Zeichen)
    Dr. Rolf Mützenich, SPD (12 Reden, gesamt 100876 Zeichen)
    Detlef Müller, SPD (12 Reden, gesamt 62511 Zeichen)
    Markus Töns, SPD (12 Reden, gesamt 55022 Zeichen)
    Manuel Gava, SPD (12 Reden, gesamt 51142 Zeichen)
    Dr. Kristian Klinck, SPD (12 Reden, gesamt 47210 Zeichen)
    Dirk Heidenblut, SPD (12 Reden, gesamt 46086 Zeichen)
    Andreas Larem, SPD (12 Reden, gesamt 39374 Zeichen)
    Nezahat Baradari, SPD (12 Reden, gesamt 37915 Zeichen)
    Kevin Kühnert, SPD (11 Reden, gesamt 76439 Zeichen)
    Carsten Schneider, SPD (11 Reden, gesamt 69732 Zeichen)
    Jörg Nürnberger, SPD (11 Reden, gesamt 62753 Zeichen)
    Oliver Kaczmarek, SPD (11 Reden, gesamt 61412 Zeichen)
    Marja-Liisa Völlers, SPD (11 Reden, gesamt 55774 Zeichen)
    Sönke Rix, SPD (11 Reden, gesamt 54217 Zeichen)
    Macit Karaahmetoğlu, SPD (11 Reden, gesamt 48092 Zeichen)
    Michael Gerdes, SPD (11 Reden, gesamt 43863 Zeichen)
    Wolfgang Hellmich, SPD (11 Reden, gesamt 43807 Zeichen)
    Martin Diedenhofen, SPD (11 Reden, gesamt 39017 Zeichen)
    Kerstin Griese, SPD (10 Reden, gesamt 58072 Zeichen)
    Achim Post, SPD (10 Reden, gesamt 55831 Zeichen)
    Kathrin Michel, SPD (10 Reden, gesamt 50706 Zeichen)
    Ingo Schäfer, SPD (10 Reden, gesamt 49356 Zeichen)
    Dr. Thorsten Rudolph, SPD (10 Reden, gesamt 46331 Zeichen)
    Fabian Funke, SPD (10 Reden, gesamt 45890 Zeichen)
    Ariane Fäscher, SPD (10 Reden, gesamt 42576 Zeichen)
    Michael Müller, SPD (10 Reden, gesamt 41798 Zeichen)
    Josip Juratovic, SPD (10 Reden, gesamt 41556 Zeichen)
    Anke Hennig, SPD (10 Reden, gesamt 37833 Zeichen)
    Josephine Ortleb, SPD (10 Reden, gesamt 29533 Zeichen)
    Uwe Schmidt, SPD (9 Reden, gesamt 47115 Zeichen)
    Michelle Müntefering, SPD (9 Reden, gesamt 45848 Zeichen)
    Svenja Stadler, SPD (9 Reden, gesamt 39385 Zeichen)
    Jürgen Berghahn, SPD (9 Reden, gesamt 35917 Zeichen)
    Rita Hagl-Kehl, SPD (9 Reden, gesamt 35796 Zeichen)
    Marianne Schieder, SPD (9 Reden, gesamt 35221 Zeichen)
    Angelika Glöckner, SPD (9 Reden, gesamt 33867 Zeichen)
    Felix Döring, SPD (9 Reden, gesamt 32632 Zeichen)
    Sabine Poschmann, SPD (9 Reden, gesamt 25206 Zeichen)
    Metin Hakverdi, SPD (8 Reden, gesamt 45801 Zeichen)
    Christoph Schmid, SPD (8 Reden, gesamt 43391 Zeichen)
    Bettina Lugk, SPD (8 Reden, gesamt 40685 Zeichen)
    Lennard Oehl, SPD (8 Reden, gesamt 39371 Zeichen)
