Document{{_id=11005191, Redenanzahl=36, Vorname=Sebastian, Nachname=Roloff, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005234, Redenanzahl=36, Vorname=Konrad, Nachname=Stockmeier, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
Document{{_id=11004859, Redenanzahl=36, Vorname=Martin, Nachname=Reichardt, Partei=AfD, Fraktion=Alternative für Deutschland}}
Document{{_id=11005016, Redenanzahl=36, Vorname=Felix, Nachname=Banaszak, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11004722, Redenanzahl=36, Vorname=Götz, Nachname=Frömming, Partei=AfD, Fraktion=Alternative für Deutschland}}
Document{{_id=11005221, Redenanzahl=36, Vorname=Lina, Nachname=Seitzl, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004865, Redenanzahl=35, Vorname=Bernd, Nachname=Riexinger, Partei=DIE LINKE., Fraktion=Fraktion DIE LINKE.}}
Document{{_id=11005115, Redenanzahl=35, Vorname=Dunja, Nachname=Kreiser, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005091, Redenanzahl=35, Vorname=Gerrit, Nachname=Huy, Partei=AfD, Fraktion=Alternative für Deutschland}}
Document{{_id=11005019, Redenanzahl=35, Vorname=Katharina, Nachname=Beck, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11004796, Redenanzahl=35, Vorname=Konstantin, Nachname=Kuhle, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
Document{{_id=11005083, Redenanzahl=34, Vorname=Bernhard, Nachname=Herrmann, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11004409, Redenanzahl=34, Vorname=Tino, Nachname=Sorge, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005012, Redenanzahl=34, Vorname=Maik, Nachname=Außendorf, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11003566, Redenanzahl=34, Vorname=Julia, Nachname=Klöckner, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004715, Redenanzahl=34, Vorname=Susanne, Nachname=Ferschl, Partei=DIE LINKE., Fraktion=Fraktion DIE LINKE.}}
Document{{_id=11004917, Redenanzahl=34, Vorname=Alexander, Nachname=Throm, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004716, Redenanzahl=34, Vorname=Daniel, Nachname=Föst, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
Document{{_id=11004969, Redenanzahl=34, Vorname=Marcel, Nachname=Emmerich, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11005065, Redenanzahl=34, Vorname=Jan-Niclas, Nachname=Gesenhues, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11005158, Redenanzahl=34, Vorname=Maximilian, Nachname=Mordhorst, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
Document{{_id=11004117, Redenanzahl=34, Vorname=Beate, Nachname=Müller-Gemmeke, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11004312, Redenanzahl=33, Vorname=Dieter, Nachname=Janecek, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11005039, Redenanzahl=33, Vorname=Sandra, Nachname=Detzer, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
