Document{{_id=11005098, Redenanzahl=14, Vorname=Anna, Nachname=Kassautzki, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005174, Redenanzahl=14, Vorname=Christos, Nachname=Pantazis, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004246, Redenanzahl=14, Vorname=Ulrike, Nachname=Bahr, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11003624, Redenanzahl=14, Vorname=Axel, Nachname=Schäfer, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005262, Redenanzahl=13, Vorname=Herbert, Nachname=Wollmann, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004296, Redenanzahl=13, Vorname=Gabriela, Nachname=Heinrich, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005231, Redenanzahl=13, Vorname=Nadja, Nachname=Sthamer, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005195, Redenanzahl=13, Vorname=Tina, Nachname=Rudolph, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004701, Redenanzahl=13, Vorname=Esther, Nachname=Dilcher, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004392, Redenanzahl=13, Vorname=Bernd, Nachname=Rützel, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005148, Redenanzahl=13, Vorname=Takis, Nachname=Mehmet Ali, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004424, Redenanzahl=13, Vorname=Michael, Nachname=Thews, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005107, Redenanzahl=12, Vorname=Kristian, Nachname=Klinck, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004295, Redenanzahl=12, Vorname=Dirk, Nachname=Heidenblut, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005062, Redenanzahl=12, Vorname=Manuel, Nachname=Gava, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004921, Redenanzahl=12, Vorname=Markus, Nachname=Töns, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11003816, Redenanzahl=12, Vorname=Detlef, Nachname=Müller, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11003599, Redenanzahl=12, Vorname=Rolf, Nachname=Mützenich, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004947, Redenanzahl=12, Vorname=Nezahat, Nachname=Baradari, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005122, Redenanzahl=12, Vorname=Andreas, Nachname=Larem, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005096, Redenanzahl=11, Vorname=Macit, Nachname=Karaahmetoğlu, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005119, Redenanzahl=11, Vorname=Kevin, Nachname=Kühnert, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11003218, Redenanzahl=11, Vorname=Carsten, Nachname=Schneider, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11003830, Redenanzahl=11, Vorname=Sönke, Nachname=Rix, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004063, Redenanzahl=11, Vorname=Oliver, Nachname=Kaczmarek, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005169, Redenanzahl=11, Vorname=Jörg, Nachname=Nürnberger, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005040, Redenanzahl=11, Vorname=Martin, Nachname=Diedenhofen, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004226, Redenanzahl=11, Vorname=Wolfgang, Nachname=Hellmich, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004039, Redenanzahl=11, Vorname=Michael, Nachname=Gerdes, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004942, Redenanzahl=11, Vorname=Marja-Liisa, Nachname=Völlers, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004844, Redenanzahl=10, Vorname=Josephine, Nachname=Ortleb, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11003782, Redenanzahl=10, Vorname=Josip, Nachname=Juratovic, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005057, Redenanzahl=10, Vorname=Fabian, Nachname=Funke, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005199, Redenanzahl=10, Vorname=Ingo, Nachname=Schäfer, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005161, Redenanzahl=10, Vorname=Michael, Nachname=Müller, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005054, Redenanzahl=10, Vorname=Ariane, Nachname=Fäscher, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005153, Redenanzahl=10, Vorname=Kathrin, Nachname=Michel, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005081, Redenanzahl=10, Vorname=Anke, Nachname=Hennig, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005194, Redenanzahl=10, Vorname=Thorsten, Nachname=Rudolph, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11003440, Redenanzahl=10, Vorname=Kerstin, Nachname=Griese, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004378, Redenanzahl=10, Vorname=Achim, Nachname=Post, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
